Chili sin carne (végé),Ail,Condiment,FALSE,0,0,0,0
Chili sin carne (végé),Poivrons,Kg,FALSE,0,0,0,0
Chili sin carne (végé),Maïs,Kg,FALSE,0,0,0,0
Chili sin carne (végé),Piment,Condiment,FALSE,0,0,0,0
Chili sin carne (végé),Cumin,Condiment,FALSE,0,0,0,0
Chili sin carne (végé),Paprika,Condiment,FALSE,0,0,0,0
Chili sin carne (végé),Coriandre,Condiment,FALSE,0,0,0,0
Chili sin carne (végé),Huile d'olive,Condiment,FALSE,0,0,0,0
Chili sin carne (végé),Riz,Kg,FALSE,"0,04","0,04","0,06","0,05"
Couscous,Cuisse de poulet,Kg,FALSE,0,0,0,0
Couscous,Mergez,Kg,FALSE,0,0,0,0
Couscous,Semoule,Kg,FALSE,"0,05","0,04","0,075","0,06"
Couscous,Tomate,Kg,FALSE,0,0,"0,1",0
Couscous,Poivrons,Kg,FALSE,0,0,"0,15",0
Couscous,Oignons,Kg,FALSE,0,0,"0,02",0
Couscous,Ail,Condiment,FALSE,0,0,0,0
Couscous,Pois chiches,Kg,FALSE,"0,01","0,01","0,02","0,02"
Couscous,Huile d'olive,Condiment,FALSE,0,0,0,0
Couscous (végé),Semoule,Kg,FALSE,"0,05","0,04","0,075","0,06"
Couscous (végé),Tomate,Kg,FALSE,0,0,"0,1",0
Couscous (végé),Poivrons,Kg,FALSE,0,0,"0,15",0
Couscous (végé),Oignons,Kg,FALSE,0,0,"0,02",0
Couscous (végé),Ail,Condiment,FALSE,0,0,0,0
Couscous (végé),Pois chiches,Kg,FALSE,"0,02","0,02","0,05","0,04"
Couscous (végé),Huile d'olive,Condiment,FALSE,0,0,0,0
Croque fromage (végé),Pain,Tranche,FALSE,0,0,6,0
Croque fromage (végé),Fromage (tranche),Tranche,FALSE,0,0,3,0
Croque fromage (végé),Tomate,Kg,FALSE,0,0,"0,1",0
Croque monsieur,Pain,Tranche,FALSE,0,0,6,0
Croque monsieur,Jambon,Tranche,FALSE,0,0,"1,5",0
Croque monsieur,Fromage (tranche),Tranche,FALSE,0,0,3,0
Curry de légumes (végé),Carottes,Kg,FALSE,0,0,0,0
Curry de légumes (végé),Pomme de terre,Kg,FALSE,0,0,0,0
Curry de légumes (végé),Oignons,Kg,FALSE,0,0,0,0
Curry de légumes (végé),Ail,Condiment,FALSE,0,0,0,0
Curry de légumes (végé),Gingembre,Condiment,FALSE,0,0,0,0
Curry de légumes (végé),Lait de coco,L,FALSE,"0,5","0,5","0,75","0,6"
Curry de légumes (végé),Curry,Condiment,FALSE,0,0,0,0
Curry de légumes (végé),Huile d'olive,Condiment,FALSE,0,0,0,0
Curry de légumes (végé),Cumin,Condiment,FALSE,0,0,0,0
Curry de légumes (végé),Coriandre,Condiment,FALSE,0,0,0,0
Curry de légumes (végé),Citron,Condiment,FALSE,0,0,0,0
Curry de légumes (végé),Riz,Kg,FALSE,"0,04","0,04","0,06","0,05"
Fish-stick épinard purée,Fish Stick,Pièce,FALSE,0,0,0,0
Fish-stick épinard purée,Epinards,Kg,FALSE,0,0,0,0
Fish-stick épinard purée,Ail,Condiment,FALSE,0,0,0,0
Fish-stick épinard purée,Oignons,Kg,FALSE,0,0,0,0
