Poivre,TRUE,TRUE,TRUE,TRUE
Poivrons,TRUE,TRUE,FALSE,FALSE
Pomme de terre,TRUE,TRUE,TRUE,TRUE
Pommes,TRUE,TRUE,TRUE,TRUE
Poulet,TRUE,TRUE,TRUE,TRUE
Protéine de soja,TRUE,TRUE,TRUE,TRUE
Quinoa,TRUE,TRUE,TRUE,TRUE
Raisins,FALSE,TRUE,FALSE,FALSE
Rice criespies chocolat,TRUE,TRUE,TRUE,TRUE
Riz,TRUE,TRUE,TRUE,TRUE
Salade,TRUE,TRUE,TRUE,TRUE
Salade de poulet curry,TRUE,TRUE,TRUE,TRUE
Salade de viande,TRUE,TRUE,TRUE,TRUE
Sauce soja,TRUE,TRUE,TRUE,TRUE
Saucisses,TRUE,TRUE,TRUE,TRUE
Sel,TRUE,TRUE,TRUE,TRUE
Semoule,TRUE,TRUE,TRUE,TRUE
Spaghetti,TRUE,TRUE,TRUE,TRUE
Spéculoos,TRUE,TRUE,TRUE,TRUE
Spirelli,TRUE,TRUE,TRUE,TRUE
Steak haché,TRUE,TRUE,TRUE,TRUE
Sucre,TRUE,TRUE,TRUE,TRUE
Sucre vanillé,TRUE,TRUE,TRUE,TRUE
Tahini,TRUE,TRUE,TRUE,TRUE
Thon,TRUE,TRUE,TRUE,TRUE
Thym,TRUE,TRUE,TRUE,TRUE
Tofu,TRUE,TRUE,TRUE,TRUE
Tomate,TRUE,FALSE,FALSE,FALSE
Tomates pelées,TRUE,TRUE,TRUE,TRUE
Viande à pitta,TRUE,TRUE,TRUE,TRUE
Viande BBQ,TRUE,TRUE,TRUE,TRUE
Viande hachée,TRUE,TRUE,TRUE,TRUE
Vinaigre de vin blanc,TRUE,TRUE,TRUE,TRUE
Wraps,TRUE,TRUE,TRUE,TRUE
Yaourt,TRUE,TRUE,TRUE,TRUE
